ID,EnterDate,Position,EnterPrice,EnterSignal,ExitDate,ExitPrice,ExitSignal
220,2020-03-23,Long,5831.3745,Semi-Long,2020-03-24,6436.6426,Semi-Short
221,2020-03-25,Long,6738.7168,Semi-Long,2020-03-26,6675.1709,Semi-Short
222,2020-03-27,Long,6719.3892,Semi-Long,2020-03-28,6467.2539,Semi-Short
223,2020-03-29,Long,6245.6245,Semi-Long,2020-03-30,5925.5386,Semi-Short
224,2020-03-31,Long,6430.6064,Semi-Long,2020-04-01,6437.3193,Semi-Short
225,2020-04-02,Long,6606.7764,Semi-Long,2020-04-03,6797.3965,Semi-Short
226,2020-04-04,Long,6738.3828,Semi-Long,2020-04-05,6862.5376,Semi-Short
227,2020-04-06,Long,6788.0498,Long,2020-04-07,7273.6440,Semi-Short
228,2020-04-08,Long,7179.2832,Semi-Long,2020-04-09,7337.9663,Semi-Short
229,2020-04-10,Long,7303.8154,Semi-Long,2020-04-11,6867.4404,Semi-Short
230,2020-04-12,Long,6858.0679,Semi-Long,2020-04-13,6965.6167,Semi-Short
231,2020-04-14,Long,6843.2817,Semi-Long,2020-04-15,6845.5615,Semi-Short
232,2020-04-16,Long,6640.4541,Semi-Long,2020-04-17,7116.5527,Semi-Short
233,2020-04-18,Long,7092.2915,Semi-Long,2020-04-19,7260.9224,Semi-Short
234,2020-04-20,Long,7186.8735,Semi-Long,2020-04-21,6879.7842,Semi-Short
235,2020-04-22,Long,6879.4404,Semi-Long,2020-04-23,7121.3062,Semi-Short
236,2020-04-24,Long,7434.1816,Semi-Long,2020-04-25,7550.4829,Semi-Short
237,2020-04-26,Long,7570.1392,Semi-Long,2020-04-27,7679.4189,Semi-Short
238,2020-04-28,Long,7796.9702,Semi-Long,2020-04-29,7806.7124,Semi-Short
239,2020-04-30,Long,8797.6699,Semi-Long,2020-05-01,8672.7822,Semi-Short
240,2020-05-02,Long,8869.0576,Semi-Long,2020-05-03,8983.6143,Semi-Short
241,2020-05-04,Long,8895.7451,Semi-Long,2020-05-05,8912.8320,Semi-Short
242,2020-05-06,Long,9007.4414,Semi-Long,2020-05-07,9261.8955,Semi-Short
243,2020-05-08,Long,9936.1621,Semi-Long,2020-05-09,9840.9062,Semi-Short
244,2020-05-10,Long,9591.1689,Semi-Long,2020-05-11,8755.5352,Semi-Short
245,2020-05-12,Long,8610.3857,Semi-Long,2020-05-13,8805.3877,Semi-Short
246,2020-05-14,Long,9271.3291,Semi-Long,2020-05-15,9734.2910,Semi-Short
247,2020-05-16,Long,9333.2402,Semi-Long,2020-05-17,9374.9297,Semi-Short
248,2020-05-18,Long,9675.6953,Semi-Long,2020-05-19,9727.0635,Semi-Short
249,2020-05-20,Long,9725.3291,Semi-Long,2020-05-21,9522.7402,Semi-Short
250,2020-05-22,Long,9080.3350,Semi-Long,2020-05-23,9185.0625,Semi-Short
251,2020-05-24,Long,9212.2832,Semi-Long,2020-05-25,8786.1074,Semi-Short
252,2020-05-26,Long,8909.5859,Semi-Long,2020-05-27,8837.3809,Semi-Short
253,2020-05-28,Long,9184.9453,Semi-Long,2020-05-29,9528.3555,Short
254,2020-05-30,Long,9438.9141,Semi-Long,2020-05-31,9700.1055,Semi-Short
255,2020-06-01,Long,9463.6055,Semi-Long,2020-06-03,9533.7607,Semi-Short
256,2020-06-04,Long,9655.8545,Semi-Long,2020-06-05,9800.2158,Semi-Short
257,2020-06-06,Long,9664.9043,Semi-Long,2020-06-07,9653.0029,Semi-Short
258,2020-06-08,Long,9760.0635,Semi-Long,2020-06-09,9774.3604,Semi-Short
259,2020-06-10,Long,9794.1191,Semi-Long,2020-06-11,9870.0781,Semi-Short
260,2020-06-12,Long,9320.6904,Semi-Long,2020-06-13,9480.7354,Semi-Short
261,2020-06-14,Long,9477.5537,Semi-Long,2020-06-15,9386.0352,Semi-Short
262,2020-06-16,Long,9454.2666,Semi-Long,2020-06-17,9533.7842,Semi-Short
263,2020-06-18,Long,9481.5674,Semi-Long,2020-06-19,9410.2939,Semi-Short
264,2020-06-20,Long,9290.9600,Semi-Long,2020-06-21,9330.9268,Short
265,2020-06-22,Long,9300.9150,Semi-Long,2020-06-23,9644.0762,Semi-Short
266,2020-06-24,Long,9632.1494,Semi-Long,2020-06-25,9314.1270,Semi-Short
267,2020-06-26,Long,9260.9951,Semi-Long,2020-06-27,9167.8242,Semi-Short
268,2020-06-28,Long,9048.4609,Semi-Long,2020-06-29,9140.0293,Semi-Short
269,2020-06-30,Long,9185.5811,Semi-Long,2020-07-01,9145.9854,Semi-Short
270,2020-07-02,Long,9231.1396,Semi-Long,2020-07-03,9124.8428,Semi-Short
271,2020-07-04,Long,9084.2334,Semi-Long,2020-07-05,9126.0908,Semi-Short
272,2020-07-06,Long,9072.8496,Semi-Long,2020-07-07,9349.1611,Semi-Short
273,2020-07-08,Long,9253.0205,Semi-Long,2020-07-09,9427.9941,Semi-Short
274,2020-07-10,Long,9273.3574,Semi-Long,2020-07-11,9277.5117,Semi-Short
275,2020-07-12,Long,9241.0547,Semi-Long,2020-07-13,9277.2051,Semi-Short
276,2020-07-14,Long,9238.7031,Semi-Long,2020-07-15,9241.8975,Semi-Short
277,2020-07-16,Long,9191.9805,Long,2020-07-17,9131.8125,Short
278,2020-07-18,Long,9151.1836,Semi-Long,2020-07-19,9158.0059,Semi-Short
279,2020-07-20,Long,9187.2207,Semi-Long,2020-07-21,9162.5146,Semi-Short
280,2020-07-22,Long,9375.0801,Semi-Long,2020-07-24,9585.5146,Semi-Short
281,2020-07-25,Long,9539.4854,Semi-Long,2020-07-26,9680.2344,Semi-Short
282,2020-07-27,Long,9905.2178,Semi-Long,2020-07-28,11017.4639,Semi-Short
283,2020-07-29,Long,10912.9531,Semi-Long,2020-07-30,11099.8330,Semi-Short
284,2020-07-31,Long,11110.2109,Semi-Long,2020-08-01,11322.5703,Semi-Short
285,2020-08-02,Long,11758.7646,Semi-Long,2020-08-03,11043.7686,Semi-Short
